"id";"normalised";"hiscocat";"hiscocatname";"hiscocatdesc"
"323";"modelmaker";"https://iisg.amsterdam/resource/hisco/code/hisco/72500";"Metal Moulder or Coremaker, Specialisation Unknown";"May perform any (but not all) of the occupational activities described in unit group 7-25."
"324";"modisten en handelaren in modeartikelen";"https://iisg.amsterdam/resource/hisco/code/hisco/79510";"Hand and Machine Sewer, General";"Performs various hand- and machine-sewing tasks in making, altering and repairing articles of textile and kindred materials."
"325";"molenaars";"https://iisg.amsterdam/resource/hisco/code/hisco/77120";"Grain Miller";"Operates machinery for processing grain (except rice) to produce flour, meal and animal feed."
"326";"molenmaker";"https://iisg.amsterdam/resource/hisco/code/hisco/95910";"Housebuilder, General";"Constructs, alters and repairs small structures such as houses, barns, shops and private garages, performing tasks in several different building trades."
"327";"mostaard (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"328";"mot en zaagsel (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"329";"muziek-handelaars";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"330";"muziek-instrument-handelaars";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"331";"naaimachines (handelaars en reparateurs.)";"https://iisg.amsterdam/resource/hisco/code/hisco/75330";"Knitting-Machine Setter";"Sets, adjusts and makes minor repairs to various types of knitting machines."
"332";"notarissen";"https://iisg.amsterdam/resource/hisco/code/hisco/12310";"Notary";"Draws up, records and certifies documents and instruments of legal importance."
"333";"olie, petroleum, enz. (handelaren in en fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"334";"oliezaden en oliën. (commissionairs in)";"https://iisg.amsterdam/resource/hisco/code/hisco/42230";"Purchasing Agent";"Buys machinery, equipment, raw materials, services and other supplies for use or consumption by a manufacturing, commercial, government agency or other undertaking"
"335";"onderwijzers in het boekhouden";"https://iisg.amsterdam/resource/hisco/code/hisco/13260";"Commercial and Secretarial Teacher (Second Level)";"Instructs pupils, in an establishment of general or specialised education, in commercial and secretarial subjects."
"336";"onderwijzers in de bouwkunde";"https://iisg.amsterdam/resource/hisco/code/hisco/13125";"Teacher in Engineering and Architecture (Third Level)";"Conducts courses of instruction at the third level of education in engineering, architecture and town planning. Workers teaching industrial arts at the third (post-secondary) level, who conduct courses mainly of a practical nature for industrial technicians, foremen-supervisors and vocational training instructors in manufacturing, mining, construction and related techniques are classified in 1-31.80."
"337";"onderwijzers in het dansen";"https://iisg.amsterdam/resource/hisco/code/hisco/13990";"Other Teachers";"This group includes teachers not elsewhere classified, for example those who teach children remanded to establishments for corrective training; those who specialise in visiting homes to assist schoolchildren who have scholastic, behavioural or personality problems and working out with children, parents and teachers ways for overcoming difficulties; and those performing educational therapy work, in collaboration with rehabilitation teams, for patients in hospitals and clinics."
"338";"onderwijzers in de gymnastiek";"https://iisg.amsterdam/resource/hisco/code/hisco/13290";"Other Secondary Education Teachers";"This group includes secondary education teachers not elsewhere classified, for example those occupied primarily in giving instruction, at the second level of education, in philosophy, principles and practice of physical education, pedagogy or other subject areas not covered by teachers described in the preceding definitions, and those occupied mainly in giving private lessons in any subject at the second level of education."
"339";"onderwijzers in de muziek";"https://iisg.amsterdam/resource/hisco/code/hisco/13250";"Fine Arts Teacher (Second Level)";"Instructs pupils, in an establishment of general or specialised secondary education, in fine arts subjects such as architecture, drawing and painting, music and dramatics. Teachers of music may also ne performing musicians."
"340";"onderwijzers in het schermen";"https://iisg.amsterdam/resource/hisco/code/hisco/18090";"Other Athletes, Sportsmen and Related Workers";"This group includes athletes, sportsmen and related workers not elsewhere classified, for example those teaching chess, billiards or card games or playing such games for gain."
"341";"school- en huisonderwijzers en onderwijzeressen";"https://iisg.amsterdam/resource/hisco/code/hisco/13000";"Teacher, Level and Subject Unknown";"Conducts courses of instruction, level unknown."
"342";"onderwijzers in het schoonschrijven";"https://iisg.amsterdam/resource/hisco/code/hisco/13290";"Other Secondary Education Teachers";"This group includes secondary education teachers not elsewhere classified, for example those occupied primarily in giving instruction, at the second level of education, in philosophy, principles and practice of physical education, pedagogy or other subject areas not covered by teachers described in the preceding definitions, and those occupied mainly in giving private lessons in any subject at the second level of education."
"343";"onderwijzers in het teekenen";"https://iisg.amsterdam/resource/hisco/code/hisco/13250";"Fine Arts Teacher (Second Level)";"Instructs pupils, in an establishment of general or specialised secondary education, in fine arts subjects such as architecture, drawing and painting, music and dramatics. Teachers of music may also ne performing musicians."
"344";"onderwijzers in de wis- en zeevaartkunde";"https://iisg.amsterdam/resource/hisco/code/hisco/13220";"Mathematics Teacher (Second Level)";"Instructs pupils in an establishment of secondary education in mathematics and related subjects."
"345";"ongelukkenverzekeringen";"https://iisg.amsterdam/resource/hisco/code/hisco/44120";"Insurance Salesman";"Sells life, accident, endowment, fire, marine and other types of insurance."
"346";"oogartsen";"https://iisg.amsterdam/resource/hisco/code/hisco/061";"Medical Doctors";"Workers in this unit group apply medical knowledge to the prevention, diagnosis and treatment of human illnesses. Their functions include: conducting medical examinations, making diagnoses, prescribing and giving treatment for diseases, disorders and injuries of the human body, and applying preventive medicine techniques; performing surgical operations in the treatment of injuries, diseases and disorders of the human body; implementing public health laws and regulations for safeguarding and promoting the health of a community; performing related tasks. Anatomists, Physiologists, Bacteriologists, Medical pathologists and Pharmacologists are classified in unit group 0-52, Dentists in 0-63 and Pharmacists in 0-67."
"347";"optici";"https://iisg.amsterdam/resource/hisco/code/hisco/07530";"Dispensing Optician";"Assists customer in choice of frames, selects the lenses prescribed, fits lenses in frames and fits frames to customer, or fits contact lenses according to prescription."
"348";"orfevrerie-artikelen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"349";"orgels (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"350";"overhemden (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"351";"paarden (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"352";"paardenslachters";"https://iisg.amsterdam/resource/hisco/code/hisco/77320";"Slaughterer";"Slaughters animals and flays, trims and reduces carcasses."
"353";"papier (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"354";"papier (in oud)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"355";"parapluies en parasols (winkeliers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41030";"Working Proprietor (Retail Trade)";"Conducts a business in retail trade on own behalf or in partnership, buying goods and selling them for personal or household consumption or other use."
"356";"parfumeriën en toiletartikelen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"357";"parfumeriën en toiletwerken (in grondstoffen)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"358";"passementen, franjes, knoopen, fournituren, enz. (fabrikanten van en winkeliers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41030";"Working Proprietor (Retail Trade)";"Conducts a business in retail trade on own behalf or in partnership, buying goods and selling them for personal or household consumption or other use."
"359";"pendules en bronzen (grossiers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41020";"Working Proprietor (Wholesale Trade)";"Conducts a business in wholesale trade on own behalf or in partnership, buying goods and selling them to retailers and to industrial, commercial or other large consumers."
"360";"petroleum-motoren";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"361";"pettenmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/79390";"Other Milliners and Hat Makers";"This group includes milliners and hat makers not elsewhere classified, for example those who specialise in making cork and other sun helmets, silk hats and other headgear for special purposes; buffing and sanding hat bodies to smooth and polish surface; trimming hat brims to specified width."
"362";"pettenfournituren (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"363";"photografen";"https://iisg.amsterdam/resource/hisco/code/hisco/16310";"Photographer, General";"Takes photographs of persons, places, merchandise and other subjects."
"364";"photografie-artikelen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"365";"piano's (kooplieden en winkeliers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"366";"pianomakers";"https://iisg.amsterdam/resource/hisco/code/hisco/94170";"Piano Maker";"Makes, assembles and repairs instrumental parts of pianos of wood, felt, wire and other materials, using hand and power tools."
"367";"pianostemmers";"https://iisg.amsterdam/resource/hisco/code/hisco/94180";"Musical Instrument Tuner";"Tests and adjusts musical instruments, such as pianos and organs, to produce correct tones and keep instrument in good condition."
"368";"plakmiddelen";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"369";"platina (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"370";"pleisterbeelden (winkeliers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41030";"Working Proprietor (Retail Trade)";"Conducts a business in retail trade on own behalf or in partnership, buying goods and selling them for personal or household consumption or other use."
"371";"poeliers";"https://iisg.amsterdam/resource/hisco/code/hisco/41030";"Working Proprietor (Retail Trade)";"Conducts a business in retail trade on own behalf or in partnership, buying goods and selling them for personal or household consumption or other use."
"372";"poets- en polijst-creme (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"373";"porselein, kristal, aarde- en glaswerk. (grossiers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41020";"Working Proprietor (Wholesale Trade)";"Conducts a business in wholesale trade on own behalf or in partnership, buying goods and selling them to retailers and to industrial, commercial or other large consumers."
"374";"porselein, kristal, aarde- en glaswerk (winkeliers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41030";"Working Proprietor (Retail Trade)";"Conducts a business in retail trade on own behalf or in partnership, buying goods and selling them for personal or household consumption or other use."
"375";"porseleinschilder";"https://iisg.amsterdam/resource/hisco/code/hisco/89530";"Ceramics Painter";"Paints designs on pottery, porcelain ware and tiles with a brush."
"376";"procureur";"https://iisg.amsterdam/resource/hisco/code/hisco/12110";"Lawyer";"Prepares and pleads cases and conducts prosecutions in courts of justice."
"377";"publiciteit";"https://iisg.amsterdam/resource/hisco/code/hisco/19940";"Advertising Account Executive";"Plans, directs and co-ordinates production of advertising campaigns for particular clients of an advertising agency."
"378";"reclamekundige";"https://iisg.amsterdam/resource/hisco/code/hisco/19940";"Advertising Account Executive";"Plans, directs and co-ordinates production of advertising campaigns for particular clients of an advertising agency."
"379";"reclamevlakte";"https://iisg.amsterdam/resource/hisco/code/hisco/19940";"Advertising Account Executive";"Plans, directs and co-ordinates production of advertising campaigns for particular clients of an advertising agency."
"380";"reeders en boekhouders van schepen";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"381";"reparateurs van porselein en antiquiteiten";"https://iisg.amsterdam/resource/hisco/code/hisco/84990";"Other Machinery Fitters, Machine Assemblers and Precision Instrument Makers (except Electrical)";"This group includes machinery fitters, machine assemblers and precision instrument makers (except electrical) not elsewhere classified, for example those who assemble metal products from prepared parts not requiring further tooling or adjusting, by fixing the parts together with bolts, clips screws, rivets or similar devices."
"382";"reparateurs van speelwerken";"https://iisg.amsterdam/resource/hisco/code/hisco/84990";"Other Machinery Fitters, Machine Assemblers and Precision Instrument Makers (except Electrical)";"This group includes machinery fitters, machine assemblers and precision instrument makers (except electrical) not elsewhere classified, for example those who assemble metal products from prepared parts not requiring further tooling or adjusting, by fixing the parts together with bolts, clips screws, rivets or similar devices."
"383";"restaurateurs van schilderijen";"https://iisg.amsterdam/resource/hisco/code/hisco/16160";"Painting Restorer";"Restores damaged, soiled and faded paintings."
"384";"restauratiehouders";"https://iisg.amsterdam/resource/hisco/code/hisco/51030";"Working Proprietor (Restaurant)";"Operates a restaurant on own account or in partnership, to provide food and beverages for guests."
"385";"ridderorden (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"386";"rolluikenfabrikanten";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"387";"rouwgoederen (winkeliers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41030";"Working Proprietor (Retail Trade)";"Conducts a business in retail trade on own behalf or in partnership, buying goods and selling them for personal or household consumption or other use."
"388";"rijtuig- en wagenmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/81925";"Cartwright";"Constructs and repairs wooden carts, wagons and wheels, using hand and power tools."
"389";"rijwielen (kooplieden in en reparateurs van)";"https://iisg.amsterdam/resource/hisco/code/hisco/84975";"Pedal-Cycle Repairer";"Services and repairs pedal cycles."
"390";"sabels, degens, enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"391";"schachtenmaker";"https://iisg.amsterdam/resource/hisco/code/hisco/71300";"Well Drillers, Borers and Related Workers, Specialisation Unknown";"May perform any (but not all) of the occupational activities described in unit group 7-13."
"392";"scheepsbeschuitbakkers";"https://iisg.amsterdam/resource/hisco/code/hisco/77690";"Other Bakers, Pastry Cooks and Confectionery Makers";"This group includes bakers, pastry cooks and confectionery makers not elsewhere classified, for example those who make biscuits and spiced bread; make chewing gum; make fondants, caramels and other sweets; enrobe fondants, caramels, nuts or other foods by hand or machine; operate automatic machines which mould chocolate, soft sweets or jellies; or use tempering machines to maintain correct temperature and grain of liquid chocolate."
"393";"scheepsbevrachters";"https://iisg.amsterdam/resource/hisco/code/hisco/39190";"Other Stock Clerks";"This group includes stock clerks not elsewhere classified, for example those who compile inventories of furniture and household effects received for storage in depositories."
"394";"scheepsbouwmeesters en schuitenmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/95440";"Wood Shipwright";"Erects temporary structures to support ship under construction or repair, checks fairing, makes and fits wooden parts of ship, prepares launching way and handles launching."
"395";"scheepsgezagvoerders";"https://iisg.amsterdam/resource/hisco/code/hisco/04217";"Ship's Master (Sea or Inland Waterways)";"Takes complete charge of seagoing ship or vessel confined to inland waterways and directs, co-ordinates and supervises shipboard activities."
"396";"scheikundigen";"https://iisg.amsterdam/resource/hisco/code/hisco/01110";"Chemist, General";"Conducts chemical experiments, tests and analyses to investigate chemical phenomena, to test, develop or improve materials and products and to control or develop industrial processes."
"397";"schilders (huis- en decoratie-)";"https://iisg.amsterdam/resource/hisco/code/hisco/93120";"Building Painter";"Applies coats of paint, varnish, shellac and similar materials to exterior and interior surfaces, trimmings and fixtures of buildings to protect and decorate them."
"398";"schilders (rijtuig-)";"https://iisg.amsterdam/resource/hisco/code/hisco/93120";"Building Painter";"Applies coats of paint, varnish, shellac and similar materials to exterior and interior surfaces, trimmings and fixtures of buildings to protect and decorate them."
"399";"schildpadwerker";"https://iisg.amsterdam/resource/hisco/code/hisco/94990";"Other Production and Related Workers Not Elsewhere Classified";"This group includes other production and related workers not elsewhere classified, for example those who make footwear from raffia, straw or similar material; operate machines in the making of matches; operate machines in the making of wood-encased pencil"
"400";"schoenmakers en winkeliers in schoenen en laarzen";"https://iisg.amsterdam/resource/hisco/code/hisco/80110";"Shoe-maker, General";"Makes leather footwear to requirements of individual customers. May also carry out repairs."
"401";"schoenmakersfournituren en gemaakt schoenwerk (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"402";"schoensmeer (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"403";"schoolmeubelen (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"404";"schoorsteenvegers en rookverdrijvers";"https://iisg.amsterdam/resource/hisco/code/hisco/55240";"Chimney Sweep";"Removes soot from flues, chimneys and connecting pipes."
"405";"schrijfmachines (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"406";"schuitenverhuurders";"https://iisg.amsterdam/resource/hisco/code/hisco/41040";"Working Proprietor (Hiring Out)";"Conducts a business by hiring services and vehicles."
"407";"schuitenvoerders";"https://iisg.amsterdam/resource/hisco/code/hisco/98190";"Other Ships' Deck Ratings, Barge Crews and Boatmen";"This group includes other ships= deck ratings, barge crews and boatmen not elsewhere classified, for example those who perform tasks of deck-hands on harbour vessels, canal barges, river boats, ferries and yachts; serve as crewmen on tugboats, cable ships, lightships and dredges; serve as members of land-based lifeboat crew; drive launches and motorboats."
"408";"sigaren-fournituren (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"409";"sigarettenfabrikanten";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"410";"siroopfabrikanten";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"411";"slijpsteenen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"412";"slijters en tappers";"https://iisg.amsterdam/resource/hisco/code/hisco/41030";"Working Proprietor (Retail Trade)";"Conducts a business in retail trade on own behalf or in partnership, buying goods and selling them for personal or household consumption or other use."
"413";"smeden (hoef- en rijtuig-)";"https://iisg.amsterdam/resource/hisco/code/hisco/83110";"Blacksmith, General";"Forges and repairs articles of iron and steel, such as hand tools, hooks, chains, agricultural implements and metal structural parts, using hand or power hammers."
"414";"smeden";"https://iisg.amsterdam/resource/hisco/code/hisco/83110";"Blacksmith, General";"Forges and repairs articles of iron and steel, such as hand tools, hooks, chains, agricultural implements and metal structural parts, using hand or power hammers."
"415";"soda (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"416";"spiegels (venetiaansche)";"https://iisg.amsterdam/resource/hisco/code/hisco/89148";"Plate-Glass Polisher";"Operates a machine to polish and level plate-glass surfaces."
"417";"spiegels en lijsten (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"418";"sponsen, zeemleer, enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"419";"sportartikelen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"420";"springveeren (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"421";"stalhouders";"https://iisg.amsterdam/resource/hisco/code/hisco/62460";"Horse Worker";"Performs one or more of a variety of tasks in the breeding, raising and care of horses."
"422";"stalinrichtingen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"423";"stangenmaker";"https://iisg.amsterdam/resource/hisco/code/hisco/72990";"Other Metal Processors";"This group includes other metal processors not elsewhere classified."
"424";"steendrukkers";"https://iisg.amsterdam/resource/hisco/code/hisco/92250";"Direct Lithographic Pressman";"Sets and operates machine in which sheets of paper, tin plate or other materials are printed directly from prepared lithographic stone."
"425";"steenhouwers";"https://iisg.amsterdam/resource/hisco/code/hisco/82000";"Stone Cutter or Carver, Specialisation Unknown";"May perform any (but not all) of the occupational activities described in unit group 8-20."
"426";"steenkolen, cokes, enz. (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"427";"steenkolenfactors";"https://iisg.amsterdam/resource/hisco/code/hisco/71105";"Miner, General";"Extracts coal or other minerals, such as iron, copper, tin, lead, antimony, jet, gold, silver from underground or surface mines."
"428";"steenkoopers en fabrikanten";"https://iisg.amsterdam/resource/hisco/code/hisco/42220";"Buyer";"Buys goods for resale in wholesale and retail trade."
"429";"stenografen";"https://iisg.amsterdam/resource/hisco/code/hisco/32110";"Stenographer-Typist, General";"Records various kinds of dictated or other matter in shorthand and makes a transcription in typewritten form."
